TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,PTS_RANK
1610612741,Chicago,Bulls,2009,82,41,41,0.5,8,3,1,4,N/A,3081,6825,0.451,352,1066,0.33,1479,1962,0.754,7993,24
1610612741,Chicago,Bulls,2010,82,62,20,0.756,1,1,9,7,N/A,3042,6587,0.462,511,1415,0.361,1492,2008,0.743,8087,20
1610612741,Chicago,Bulls,2011,66,50,16,0.758,1,1,2,4,N/A,2467,5462,0.452,419,1117,0.375,1006,1394,0.722,6359,18
1610612741,Chicago,Bulls,2012,82,45,37,0.549,5,2,5,7,N/A,2926,6698,0.437,446,1265,0.353,1343,1738,0.773,7641,29
1610612741,Chicago,Bulls,2013,82,48,34,0.585,4,2,1,4,N/A,2843,6577,0.432,508,1459,0.348,1486,1908,0.779,7680,30
1610612741,Chicago,Bulls,2014,82,50,32,0.61,3,2,6,6,N/A,3001,6797,0.442,645,1825,0.353,1618,2067,0.783,8265,15
1610612741,Chicago,Bulls,2015,82,42,40,0.512,9,4,0,0,N/A,3165,7170,0.441,651,1753,0.371,1354,1720,0.787,8335,21
1610612741,Chicago,Bulls,2016,82,41,41,0.5,8,4,2,4,N/A,3169,7141,0.444,623,1831,0.34,1474,1848,0.798,8435,23
1610612741,Chicago,Bulls,2017,82,27,55,0.329,13,5,0,0,N/A,3170,7285,0.435,906,2549,0.355,1194,1574,0.759,8440,26
1610612741,Chicago,Bulls,2018,82,22,60,0.268,13,4,0,0,N/A,3266,7205,0.453,745,2123,0.351,1328,1695,0.783,8605,27
1610612741,Chicago,Bulls,2019,65,22,43,0.338,11,3,0,0,N/A,2573,5762,0.447,793,2282,0.348,1006,1332,0.755,6945,28
1610612741,Chicago,Bulls,2020,72,31,41,0.431,11,3,0,0,N/A,3035,6380,0.476,904,2446,0.37,995,1258,0.791,7969,21
1610612741,Chicago,Bulls,2021,82,46,36,0.561,6,2,1,4,N/A,3422,7127,0.48,872,2364,0.369,1436,1766,0.813,9152,13
1610612742,Dallas,Mavericks,2000,82,53,29,0.646,4,2,4,6,N/A,3085,6716,0.459,517,1357,0.381,1552,1954,0.794,8239,4
1610612742,Dallas,Mavericks,2001,82,57,25,0.695,4,2,4,4,N/A,3200,6930,0.462,621,1645,0.378,1608,1994,0.806,8629,1
1610612742,Dallas,Mavericks,2002,82,60,22,0.732,3,2,10,10,N/A,3161,6982,0.453,636,1668,0.381,1486,1793,0.829,8444,1
1610612742,Dallas,Mavericks,2003,82,52,30,0.634,5,3,1,4,N/A,3322,7230,0.459,507,1456,0.348,1475,1854,0.796,8626,1
1610612742,Dallas,Mavericks,2004,82,58,24,0.707,3,2,6,7,N/A,3058,6691,0.457,463,1273,0.364,1826,2314,0.789,8405,3
1610612742,Dallas,Mavericks,2005,82,60,22,0.732,2,2,14,9,FINALS APPEARANCE,2948,6375,0.462,416,1113,0.374,1818,2322,0.783,8130,9
1610612742,Dallas,Mavericks,2006,82,67,15,0.817,1,1,2,4,N/A,3010,6442,0.467,535,1404,0.381,1646,2045,0.805,8201,9
1610612742,Dallas,Mavericks,2007,82,51,31,0.622,7,4,1,4,N/A,3025,6515,0.464,494,1403,0.352,1690,2075,0.814,8234,12
1610612742,Dallas,Mavericks,2008,82,50,32,0.61,6,3,5,5,N/A,3128,6770,0.462,571,1632,0.35,1516,1852,0.819,8343,9
